"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
21	0.798160173160173	12	20	"Heart"	0
22	0.824702403518083	13	20	"Heart"	0
23	0.815581253804017	14	20	"Heart"	0
24	0.775123685837972	15	20	"Heart"	0
25	0.747472426470588	14	20	"Heart"	0
26	0.812361440256861	14	20	"Heart"	0
27	0.798041044776119	15	20	"Heart"	0
28	0.796161707926414	18	20	"Heart"	0
29	0.765255009107468	16	20	"Heart"	0
30	0.798544241413299	13	20	"Heart"	0
1	0.818306010928962	16	21	"Heart"	0
2	0.788360411270701	16	21	"Heart"	0
3	0.74833064701819	14	21	"Heart"	0
4	0.781902999460251	15	21	"Heart"	0
5	0.785356695869837	17	21	"Heart"	0
6	0.787698412698413	14	21	"Heart"	0
7	0.818289968531737	17	21	"Heart"	0
8	0.795496323529412	14	21	"Heart"	0
9	0.798736532051779	13	21	"Heart"	0
10	0.814626773118363	15	21	"Heart"	0
11	0.783601845548748	13	21	"Heart"	0
12	0.743750474887926	15	21	"Heart"	0
13	0.813991864302709	14	21	"Heart"	0
14	0.799325980392157	14	21	"Heart"	0
15	0.815946691176471	14	21	"Heart"	0
16	0.812059959118783	13	21	"Heart"	0
17	0.795686545398726	14	21	"Heart"	0
18	0.800761904761905	15	21	"Heart"	0
19	0.786665153921791	16	21	"Heart"	0
20	0.783333333333333	15	21	"Heart"	0
21	0.754442401960784	15	21	"Heart"	0
22	0.809848484848485	13	21	"Heart"	0
23	0.819955277970545	16	21	"Heart"	0
